,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CCR7,2.4697798427664e-202,0.578251455434095,0.339,0.117,5.17171899075285e-198,0,CCR7
RPS13,7.28517711743795e-200,9.51788423604795,0.977,0.969,1.52551608839151e-195,0,RPS13
RPL11,1.81332739837028e-168,18.6264036364874,0.985,0.992,3.79710757218738e-164,0,RPL11
IL6ST,1.6180772160605e-162,0.82027468755447,0.289,0.104,3.38825369043068e-158,0,IL6ST
LEF1,1.91501753319244e-161,0.775416727603037,0.364,0.153,4.01004671450496e-157,0,LEF1
SELL,1.1405695314543e-154,3.1780687705532,0.441,0.213,2.3883525988653e-150,0,SELL
GAS5,9.83898755009911e-151,7.52555737896429,0.857,0.699,2.06028399299075e-146,0,GAS5
RPL32,1.82752819477444e-150,20.06909989158,0.985,0.988,3.82684403985769e-146,0,RPL32
RPS8,9.31276769518898e-149,18.6263393538109,0.987,0.989,1.95009355537257e-144,0,RPS8
MAL,9.4193500124286e-140,0.912856038117713,0.388,0.183,1.97241189260255e-135,0,MAL
RPL13,1.20292991007436e-139,18.6264047907619,0.991,0.996,2.51893523169571e-135,0,RPL13
RPL22,4.25440669075445e-135,32.4849228814938,0.963,0.933,8.90872761043981e-131,0,RPL22
EEF1B2,8.8187336838763e-134,14.3061685415608,0.965,0.941,1.8466428334037e-129,0,EEF1B2
RPL9,1.66823829482474e-127,23.297647952625,0.976,0.979,3.493290989363e-123,0,RPL9
RPS6,1.23653769607541e-123,7.08484452606751,0.985,0.987,2.5893099355819e-119,0,RPS6
RPS4X,1.21636920589726e-113,40.266830463971,0.984,0.989,2.54707711714887e-109,0,RPS4X
RPS23,7.41504228081762e-113,2.75675946058462,0.984,0.989,1.55270985360321e-108,0,RPS23
TCF7,1.45919285808127e-110,0.767407241753278,0.546,0.349,3.05554984482218e-106,0,TCF7
PRKCQ-AS1,5.84379209484136e-103,0.264603211948867,0.439,0.258,1.22369006465978e-98,0,PRKCQ-AS1
RPL5,2.27370206566608e-102,15.7410045006242,0.978,0.978,4.76113212550476e-98,0,RPL5
SNHG29,4.17742707153824e-102,15.5146111555641,0.755,0.598,8.74753228780107e-98,0,SNHG29
RPS12,1.40422940911345e-100,47.4801276366342,0.986,0.991,2.94045638268357e-96,0,RPS12
EEF1G,1.26480791779978e-96,9.9701959614842,0.957,0.917,2.64850777987274e-92,0,EEF1G
RCAN3,1.47803682788127e-96,1.62590776730264,0.491,0.302,3.09500911758338e-92,0,RCAN3
RPS14,1.19335591030999e-90,48.909153849977,0.983,0.992,2.49888727618911e-86,0,RPS14
RPL23,2.8022055818297e-90,13.9312087031148,0.928,0.869,5.86781848835138e-86,0,RPL23
RPL7,1.31914399835449e-84,1.78258687674227,0.972,0.966,2.7622875325543e-80,0,RPL7
RPL35A,1.49554705413187e-83,7.08484426887543,0.981,0.975,3.13167553135213e-79,0,RPL35A
RPS9,1.00742561871195e-82,9.96035926080846,0.984,0.987,2.10954924558283e-78,0,RPS9
RPL29,2.31513398424752e-80,44.5948932737224,0.983,0.987,4.8478905630143e-76,0,RPL29
LDHB,3.61768777283199e-79,5.29716288415439,0.733,0.576,7.57543819631019e-75,0,LDHB
TPT1,1.37806686051863e-76,28.7252656732836,0.989,0.995,2.88567200592601e-72,0,TPT1
RPS16,1.2724979427394e-72,16.4536071458825,0.978,0.976,2.66461069209631e-68,0,RPS16
MT-ATP6,3.79078153020135e-71,31.6106602186372,0.999,0.999,7.93789652424162e-67,0,MT-ATP6
MT-CO3,5.00984907187682e-71,46.0002813350013,0.999,0.999,1.04906239565101e-66,0,MT-CO3
RGS10,1.89774560656362e-60,1.7903615255113,0.436,0.295,3.97387930014422e-56,0,RGS10
SNHG32,8.25743065117919e-60,1.27140334289973,0.478,0.34,1.72910597835692e-55,0,SNHG32
RPL10A,1.57048758787895e-59,19.5548732469478,0.979,0.977,3.28860100901852e-55,0,RPL10A
PIK3IP1,2.87174456144816e-59,0.958587267856283,0.491,0.354,6.01343311167244e-55,0,PIK3IP1
MAML2,5.07949040617187e-58,0.447096028067584,0.263,0.148,1.06364529105239e-53,0,MAML2
RPS27A,2.61363084718399e-57,2.7567353649074,0.986,0.991,5.47294299400327e-53,0,RPS27A
UTRN,2.85791599343498e-57,7.07312744430178,0.217,0.349,5.98447609025286e-53,0,UTRN
NACA,7.28871091808171e-57,20.0493122817291,0.975,0.969,1.52625606624631e-52,0,NACA
SATB1,3.64799448721927e-56,0.442446201585215,0.284,0.167,7.63890045623714e-52,0,SATB1
BCL11B,6.27982320862397e-56,1.82644142932235,0.567,0.431,1.31499497988586e-51,0,BCL11B
C12orf57,5.62579123027381e-54,0.380848330971169,0.695,0.566,1.17804068361934e-49,0,C12orf57
MACF1,3.0488913656691e-53,0.612937185826536,0.246,0.376,6.38437851971109e-49,0,MACF1
RPLP2,6.01701964872481e-52,13.9527110374868,0.985,0.985,1.25996391444297e-47,0,RPLP2
OXNAD1,2.05053794016788e-51,0.358087614285768,0.357,0.236,4.29382644671154e-47,0,OXNAD1
RPL18A,4.23492270039032e-50,30.4829376532004,0.986,0.989,8.86792813461734e-46,0,RPL18A
RPL21,2.66128298400749e-48,5.91496838373171,0.968,0.958,5.57272656851169e-44,0,RPL21
